Frequency (Hz) - Phase	Phase - Phase	
22600,2	0,670161	
22600,2	0,851458	
22700,3	0,959908	
22700,2	0,584016	
22800,3	0,731411	
22900,1	0,714235	
22900,1	0,783755	
23000,1	0,672063	
23000,1	0,673257	
23100,2	0,664338	
23135,8	-26,0623	
23200,2	0,912723	
23300,2	0,719198	
23300,2	0,791527	
23400,2	1,01982	
23400,2	0,971544	
23500,3	0,836992	
23600,3	0,652963	
23600,3	0,660475	
23700,1	1,00199	
23700,1	0,698004	
23800,2	0,941548	
23900,2	0,939035	
23900,2	0,762972	
24000,2	1,10876	
24000,2	0,69434	
24100,2	0,958079	
24200,2	1,111	
24200,2	0,979923	
24300,3	0,970739	
24300,3	0,987408	
24400,3	0,865391	
24500,1	0,790632	
24500,1	1,02743	
24600,2	1,0095	
24600,2	0,895066	
24700,2	0,748896	
24800,2	0,796025	
24800,2	0,647143	
24900,2	1,03738	
24900,2	1,12436	
25000,2	0,994494	
25100,3	0,743821	
25100,3	1,07446	
25200,1	1,02429	
25200,1	0,999348	
25300,1	1,13368	
25400,2	0,900459	
25400,2	1,16256	
25500,2	0,76388	
25500,2	1,16941	
25600,2	0,938224	
25700,2	1,08489	
25700,3	1,18611	
25800,3	0,875834	
25800,3	1,03914	
25900,3	0,998468	
26000,1	0,891925	
26000,1	1,10234	
26100,2	0,791956	
26100,2	0,917468	
26200,2	1,1739	
26300,2	0,978149	
26300,2	0,917106	
26400,2	1,03342	
26400,2	1,27086	
26500,3	1,0053	
26600,3	1,15408	
26600,3	0,902083	
26700,3	0,880884	
26700,3	1,00577	
26800,1	1,26782	
26900,2	1,04254	
26900,2	1,03503	
27000,2	1,21307	
27000,2	1,13925	
27100,2	0,83003	
27200,2	1,03548	
27200,3	1,04511	
27300,3	1,00953	
27300,3	1,08958	
27400,3	1,16505	
27400,3	1,31831	
27500,3	0,855561	
27600,2	0,976047	
27600,2	0,87051	
27700,2	1,03423	
27700,2	1,13393	
27800,2	1,02203	
27900,2	1,13423	
27900,2	1,19475	
28000,3	1,03475	
28000,3	1,13421	
28100,3	1,03038	
28200,3	1,02465	
28200,3	0,938644	
28300,2	1,12808	
28300,1	0,967558	
28400,2	1,27668	
28400,2	0,999012	
28500,2	1,13214	
28600,2	1,32195	
